Entity,Code,Year,CO2 mitigation curves to meet a 1.5C target
Start in 2002,,2039,9877024000
Start in 2002,,2040,9417709000
Start in 2002,,2041,8976314000
Start in 2002,,2042,8552459000
Start in 2002,,2043,8145730000
Start in 2002,,2044,7755694000
Start in 2002,,2045,7381904000
Start in 2002,,2046,7023897000
Start in 2002,,2047,6681204700
Start in 2002,,2048,6353350000
Start in 2002,,2049,6039856000
Start in 2002,,2050,5740241000
Start in 2002,,2051,5454028300
Start in 2002,,2052,5180744000
Start in 2002,,2053,4919917000
Start in 2002,,2054,4671086000
Start in 2002,,2055,4433793000
Start in 2002,,2056,4207593000
Start in 2002,,2057,3992046000
Start in 2002,,2058,3786725000
Start in 2002,,2059,3591212000
Start in 2002,,2060,3405101000
Start in 2002,,2061,3227997200
Start in 2002,,2062,3059515000
Start in 2002,,2063,2899285000
Start in 2002,,2064,2746947000
Start in 2002,,2065,2602151000
Start in 2002,,2066,2464562000
Start in 2002,,2067,2333856000
Start in 2002,,2068,2209719800
Start in 2002,,2069,2091851900
Start in 2002,,2070,1979963000
Start in 2002,,2071,1873774100
Start in 2002,,2072,1773015900
Start in 2002,,2073,1677434000
Start in 2002,,2074,1586781000
Start in 2002,,2075,1500819000
Start in 2002,,2076,1419323000
Start in 2002,,2077,1342075000
Start in 2002,,2078,1268869000
Start in 2002,,2079,1199504000
Start in 2002,,2080,1133792000
Start in 2002,,2081,1071550000
Start in 2002,,2082,1012606000
Start in 2002,,2083,956794050
Start in 2002,,2084,903956000
Start in 2002,,2085,853941950
Start in 2002,,2086,806608000
Start in 2002,,2087,761816000
Start in 2002,,2088,719437000
Start in 2002,,2089,679347000
Start in 2002,,2090,641426050
Start in 2002,,2091,605563000
Start in 2002,,2092,571651000
Start in 2002,,2093,539586000
Start in 2002,,2094,509274020
Start in 2002,,2095,480620000
Start in 2002,,2096,453539000
Start in 2002,,2097,427946020
Start in 2002,,2098,403763000
Start in 2002,,2099,380914020
Start in 2002,,2100,359329000
Start in 2003,,2003,32735703000
Start in 2003,,2004,33454356000
Start in 2003,,2005,33868870000
Start in 2003,,2006,34021763000
Start in 2003,,2007,33950829000
Start in 2003,,2008,33689590000
Start in 2003,,2009,33267739000
Start in 2003,,2010,32711518000
Start in 2003,,2011,32044093000
Start in 2003,,2012,31285858000
Start in 2003,,2013,30454729000
Start in 2003,,2014,29566400000
Start in 2003,,2015,28634585000
Start in 2003,,2016,27671226000
Start in 2003,,2017,26686687000
Start in 2003,,2018,25689922000
Start in 2003,,2019,24688636000
Start in 2003,,2020,23689419000
Start in 2003,,2021,22697873000
Start in 2003,,2022,21718730000
Start in 2003,,2023,20755945000
Start in 2003,,2024,19812796000
Start in 2003,,2025,18891952000
Start in 2003,,2026,17995565000
Start in 2003,,2027,17125317000
Start in 2003,,2028,16282490000
Start in 2003,,2029,15468010000
Start in 2003,,2030,14682508000
Start in 2003,,2031,13926341000
Start in 2003,,2032,13199641000
Start in 2003,,2033,12502349000
Start in 2003,,2034,11834240000
Start in 2003,,2035,11194950000
Start in 2003,,2036,10583996000
Start in 2003,,2037,10000804000
Start in 2003,,2038,9444713000
Start in 2003,,2039,8915007000
Start in 2003,,2040,8410917400
Start in 2003,,2041,7931633000
Start in 2003,,2042,7476323300
Start in 2003,,2043,7044133400
Start in 2003,,2044,6634201000
Start in 2003,,2045,6245658600
Start in 2003,,2046,5877641000
Start in 2003,,2047,5529290000
Start in 2003,,2048,5199755300
Start in 2003,,2049,4888204300
Start in 2003,,2050,4593820000
Start in 2003,,2051,4315804000
Start in 2003,,2052,4053380000
Start in 2003,,2053,3805794000
Start in 2003,,2054,3572317000
Start in 2003,,2055,3352241200
Start in 2003,,2056,3144887800
Start in 2003,,2057,2949601000
Start in 2003,,2058,2765750800
Start in 2003,,2059,2592734200
Start in 2003,,2060,2429971000
Start in 2003,,2061,2276909000
Start in 2003,,2062,2133017100
Start in 2003,,2063,1997790000
Start in 2003,,2064,1870748000
Start in 2003,,2065,1751430000
Start in 2003,,2066,1639400100
Start in 2003,,2067,1534243000
Start in 2003,,2068,1435564000
Start in 2003,,2069,1342988900
Start in 2003,,2070,1256162000
Start in 2003,,2071,1174747000
Start in 2003,,2072,1098426000
Start in 2003,,2073,1026895040
Start in 2003,,2074,959869950
Start in 2003,,2075,897081000
Start in 2003,,2076,838272000
Start in 2003,,2077,783203000
Start in 2003,,2078,731646000
Start in 2003,,2079,683387000
Start in 2003,,2080,638224000
Start in 2003,,2081,595965060
Start in 2003,,2082,556432000
Start in 2003,,2083,519454000
Start in 2003,,2084,484873000
Start in 2003,,2085,452538020
Start in 2003,,2086,422309980
Start in 2003,,2087,394053980
Start in 2003,,2088,367647000
Start in 2003,,2089,342970020
Start in 2003,,2090,319915000
Start in 2003,,2091,298377000
