Entity,Code,Year,CO2 mitigation curves to meet a 2C target
Start in 2009,,2050,14388215000
Start in 2009,,2051,13833236000
Start in 2009,,2052,13295286000
Start in 2009,,2053,12774194000
Start in 2009,,2054,12269763000
Start in 2009,,2055,11781760000
Start in 2009,,2056,11309928000
Start in 2009,,2057,10853986000
Start in 2009,,2058,10413637000
Start in 2009,,2059,9988560000
Start in 2009,,2060,9578430000
Start in 2009,,2061,9182904000
Start in 2009,,2062,8801634000
Start in 2009,,2063,8434264000
Start in 2009,,2064,8080432000
Start in 2009,,2065,7739775000
Start in 2009,,2066,7411928000
Start in 2009,,2067,7096523000
Start in 2009,,2068,6793196000
Start in 2009,,2069,6501584000
Start in 2009,,2070,6221325000
Start in 2009,,2071,5952063000
Start in 2009,,2072,5693445000
Start in 2009,,2073,5445125000
Start in 2009,,2074,5206758000
Start in 2009,,2075,4978010000
Start in 2009,,2076,4758552000
Start in 2009,,2077,4548059000
Start in 2009,,2078,4346217000
Start in 2009,,2079,4152716000
Start in 2009,,2080,3967256000
Start in 2009,,2081,3789542000
Start in 2009,,2082,3619290000
Start in 2009,,2083,3456220000
Start in 2009,,2084,3300062000
Start in 2009,,2085,3150553900
Start in 2009,,2086,3007441200
Start in 2009,,2087,2870475000
Start in 2009,,2088,2739415800
Start in 2009,,2089,2614033000
Start in 2009,,2090,2494101000
Start in 2009,,2091,2379403000
Start in 2009,,2092,2269729000
Start in 2009,,2093,2164875000
Start in 2009,,2094,2064646900
Start in 2009,,2095,1968853900
Start in 2009,,2096,1877313900
Start in 2009,,2097,1789852000
Start in 2009,,2098,1706298000
Start in 2009,,2099,1626487900
Start in 2009,,2100,1550265000
Start in 2010,,2010,38224527000
Start in 2010,,2011,38848260000
Start in 2010,,2012,39265124000
Start in 2010,,2013,39497376000
Start in 2010,,2014,39565353000
Start in 2010,,2015,39487650000
Start in 2010,,2016,39281226000
Start in 2010,,2017,38961553000
Start in 2010,,2018,38542720000
Start in 2010,,2019,38037550000
Start in 2010,,2020,37457695000
Start in 2010,,2021,36813740000
Start in 2010,,2022,36115260000
Start in 2010,,2023,35370950000
Start in 2010,,2024,34588650000
Start in 2010,,2025,33775448000
Start in 2010,,2026,32937710000
Start in 2010,,2027,32081168000
Start in 2010,,2028,31210967000
Start in 2010,,2029,30331701000
Start in 2010,,2030,29447475000
Start in 2010,,2031,28561936000
Start in 2010,,2032,27678325000
Start in 2010,,2033,26799497000
Start in 2010,,2034,25927970000
Start in 2010,,2035,25065943000
Start in 2010,,2036,24215330000
Start in 2010,,2037,23377793000
Start in 2010,,2038,22554747000
Start in 2010,,2039,21747403000
Start in 2010,,2040,20956776000
Start in 2010,,2041,20183704000
Start in 2010,,2042,19428870000
Start in 2010,,2043,18692817000
Start in 2010,,2044,17975958000
Start in 2010,,2045,17278589000
Start in 2010,,2046,16600910000
Start in 2010,,2047,15943026000
Start in 2010,,2048,15304961000
Start in 2010,,2049,14686670000
Start in 2010,,2050,14088038000
Start in 2010,,2051,13508902000
Start in 2010,,2052,12949046000
Start in 2010,,2053,12408210000
Start in 2010,,2054,11886103000
Start in 2010,,2055,11382396000
Start in 2010,,2056,10896737000
Start in 2010,,2057,10428750000
Start in 2010,,2058,9978040000
Start in 2010,,2059,9544202000
Start in 2010,,2060,9126811000
Start in 2010,,2061,8725438000
Start in 2010,,2062,8339647500
Start in 2010,,2063,7968997000
Start in 2010,,2064,7613045000
Start in 2010,,2065,7271347000
Start in 2010,,2066,6943460000
Start in 2010,,2067,6628945000
Start in 2010,,2068,6327365600
Start in 2010,,2069,6038292000
